"Product(1)",Product(2),2012 **),2013 **),2014,2015 **),2016,2017,2018,2019,2020,2021
"Food, tobacco",Processing of meat (Tons),21154.45,22635.00,25917.00,37901.00,37590.00,40936.00,55427.00,73385.00,78865.00,48827.00
"Food, tobacco",Bread and candies (Tons),6954.14,7441.00,7553.00,98744.00,106052.00,111990.00,129460.00,149656.00,160831.00,99574.00
"Food, tobacco",Fish sauce-soya sauce (Hl),5.50,6.00,6.00,331990.00,344274.00,362176.00,420849.00,489027.00,525543.00,325376.00
"Food, tobacco",Noodle (Tons),8222.29,8716.00,8855.00,100432.00,125052.00,127053.00,172284.00,233617.00,251062.00,155438.00
"Food, tobacco",Animal food (Th. tons),147.49,156.00,160.00,852.01,953.64,1038.52,1328.27,1698851.00,1825707.00,1130338.00
"Food, tobacco",Salt (Th. tons),47.61,50.00,51.00,351.00,363.98,374.90,468628.00,585785.00,629527.00,389755.00
"Food, tobacco",Fermented fish (Tons),1166.59,1248.00,1263.00,15270.00,15668.00,16842.00,18105.00,19463.00,20916.00,12950.00
"Food, tobacco",Ice (Th. tons),417.63,441.00,447.00,304.15,326.96,342.98,387228.00,437180.00,469825.00,290880.00
"Food, tobacco",Drinking water (Th.hl),11546.98,12078.00,12223.00,2202.99,2381.43,2529.08,3343.44,4420029.00,5179038.00,3387128.00
"Food, tobacco",Liquor (Th.hl),7.74,8.00,8.00,181.98,196.72,202.62,220446.00,239845.00,281031.00,183796.00
"Food, tobacco",Beer (Th.hl),4406.89,4715.00,4772.00,5164.56,5599.09,5963.04,1315.98,1646293.00,1928995.00,1261577.00
"Food, tobacco",Soft drinks (Th.hl),324.20,347.00,351.00,2611.23,2822.74,2930.01,509986.00,604843.00,708707.00,463499.00
"Food, tobacco",Coffee (Tons),891.38,948.00,967.00,61833.00,73560.00,80547.00,100281.00,124850.00,134173.00,83070.00
"Food, tobacco",Cigarettes (Mill.packs),150.52,158.00,161.00,2185.57,2218.94,2385.36,2.65,2949597.00,2880871.00,2957660.00
"Food, tobacco",Lao Tobacco (Th. tons),6730.74,6933.00,7085.00,423.58,430.36,440.26,453024.00,466162.00,455300.00,467436.00
"Food, tobacco",Cassava Flour (Tons),19475.62,21228.00,21695.00,280734.00,284912.00,295738.00,339507.00,382964.00,411561.00,254807.00
"Food, tobacco",Polished Rice (Tons),887384.28,929091.00,949531.00,102500.00,139700.00,148920.00,167684.00,188812.00,202911.00,125627.00
"Food, tobacco",Sugar (Tons),6878.61,7085.00,7241.00,16532.00,17144.00,17487.00,22558.00,26393.00,28364.00,17561.00
"Chemicals",Oxygen-Acetylene (Th.tubes),165.26,170.00,174.00,10739.00,11288.00,11626.00,11975.00,12334.00,12462.00,11612.00
"Chemicals",Battery acid (Th.hl),688.99,711.00,723.00,323.86,340.37,347.52,354.82,362271.00,366038.00,341070.00
"Chemicals",Alcohol 90 (Th.hl),1223.46,1253.00,1274.00,31.33,32.87,35.24,37.78,40495.00,37694.00,38669.00
"Chemicals",Detergent powder (Th.hl),2020.62,2124.00,2160.00,194.32,204.24,221.19,239.55,259428.00,262126.00,244245.00
"Chemicals",Soap (Th.pieces),2429.46,2522.00,2565.00,-,-,-,-,-,-,-
"Chemicals",Leather shoes (Th.pairs),984.10,994.00,999.00,2114203.00,2235.56,2367.46,2483.46,2605151.00,2259758.00,2152634.00
"Chemicals",Leather (Th. tons),916.24,948.00,964.00,2741.57,2898.93,3009.09,3255.84,3522813.00,3055756.00,2910898.00
"Chemicals",Medicine (Mill.kips),14953.28,15701.00,15968.00,20128.48,22478.72,22793.42,118265.00,119921.00,21815.00**,22379.00
"Chemicals",Fan (Th.pieces),363.05,373.00,379.00,367.00,-,-,-,-,-,-
"Chemicals",Vaccins (Mill.amp),9.98,11.00,11.00,12.00,-,-,-,-,-,-
"Chemicals",Paint (Th.hl),7146.63,7704.00,7835.00,413.58,473.51,510.92,539.53,569739.00,575664.00,536396.00
"Chemicals",Plastic goods (Mill.kips),12863.60,13327.00,13553.00,782.74,797.41,817.34,886.82,962195.26,1629.00**,10755.00
"Wood and wood articles",Lumber (Th.m3),216.97,228.00,233.00,241.00,-,-,-,-,-,-
"Wood and wood articles",Plywood (Th.sheets),1392.37,1449.00,1480.00,1532.00,-,-,-,-,-,-
"Wood and wood articles",Floor lumber (Th.m2),1862.20,1937.00,1977.00,133369.00,134304.00,130811.00,121654.00,113138.00,76746.00,80386.00
