"Annual greenhouse gas (GHG) emissions for Australia, in kt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Query results for  — Party: Australia — Years: All years — Category: 1. Energy — Gas: CO₂ — Unit: kt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Category","Base year","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","Last Inventory Year (2020)"
"1.  Energy","258947.04465704237","258947.04465704237","260930.35964980774","265474.8100482719","269536.38100543304","272316.64245784347","283304.12903621234","289904.96814959415","298072.36740701896","311278.97756070143","319802.87526230264","326371.5998072433","334087.84301768005","338371.67891105503","344354.3898014063","356985.378471883","362065.6581488086","367325.8630254951","373133.7774278765","378473.9334589107","384020.2851281932","379525.9319373314","377598.39677528","382674.70418835385","376071.10895077564","372355.1397106155","379924.89707979443","389464.30250903306","392020.04855217674","393737.93068071106","394697.5293080256","378736.6961507443"
"1.AA  Fuel Combustion - Sectoral approach","251674.54877254463","251674.54877254463","253929.1588365228","258171.10954310844","262399.63784937497","265436.49453729356","276243.41553081735","283143.9159693259","291385.0228092652","304377.01891825325","312637.73647024145","318418.74178552197","325915.5591165376","330364.1833289511","337196.4120797811","350127.4383006285","355151.19764252007","360279.4692388923","365629.63372060517","370991.2078516323","376054.17427822296","371336.15628816583","369724.2015004742","374387.7110019937","367224.70376014087","363082.4320497963","369097.0429247943","377024.3915239123","377158.6188864726","376812.3029248183","374498.2826772946","361451.52566828555"
"1.AB  Fuel Combustion - Reference Approach","254498.7559793475","254498.7559793475","257643.31817877616","258657.28950888588","265862.3926017181","268892.3483312443","277143.90469771926","287304.7771815549","291479.24326866644","305977.1952785548","313551.37161220645","319265.2121007774","324050.4085831063","330567.88947143796","336594.3430842401","349431.09369401936","356355.76518915565","355463.76805691724","364971.586789973","370193.47601173486","380303.9801755579","374164.71637709293","372893.99103163206","380694.2376548504","369812.69249241997","360950.61850027024","370300.39361186005","373120.73872426886","375011.3700569747","370033.2210204188","375054.38834412995","361867.7714105002"
"1.AD  Feedstocks, Reductants and Other Non-energy Use of Fuels","12228.06901453965","12228.06901453965","11899.764487253333","12544.172946267216","12346.192598185899","13363.716339825549","13875.105733436401","13883.126776494651","13870.24048175372","13828.238373836055","14251.224419197159","13586.633622436362","12325.083805480772","12128.838280015882","12853.256762458908","13856.41232832764","13696.20309726627","14558.114851378014","15521.266555352788","14893.470200124175","13867.708178052859","16368.507337232484","16628.607061795115","16500.48431451244","12422.490396363119","12613.700067594913","12769.200421135469","13505.84336972874","13934.391668218661","14410.95224090838","14027.055663464218","13543.680154919528"
"1.B  Fugitive Emissions from Fuels","7272.4958844977455","7272.4958844977455","7001.200813284943","7303.700505163452","7136.743156058121","6880.147920549874","7060.713505395034","6761.052180268225","6687.344597753778","6901.9586424481695","7165.138792061184","7952.85802172136","8172.283901142432","8007.495582103913","7157.977721625175","6857.940171254488","6914.460506288492","7046.393786602789","7504.143707271319","7482.725607278358","7966.110849970278","8189.775649165572","7874.195274805806","8286.993186360196","8846.405190634789","9272.707660819266","10827.854155000094","12439.910985120738","14861.429665704109","16925.62775589277","20199.246630730977","17272.753482458706"
"1.C  CO₂ Transport and Storage","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","12.417"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note 1: The reporting and review requirements for GHG inventories are different for Annex I and non-Annex I Parties. The definition format of data for emissions/removals from the forestry sector is different for Annex I and non-Annex I Parties.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note 2: Base year data in the data interface relate to the base year under the Climate Change Convention (UNFCCC).  The base year under the Convention is defined slightly different than the base year under the Kyoto Protocol.  An exception is made for European Union (KP) whereby the base year under the Kyoto Protocol is displayed.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note 3: Some non-Annex I Parties submitted their GHG inventory data using  the format of the 2006 IPCC Guidelines in reporting GHG emissions/removals.  For this reason, these data could not be included in the data interface.  However, the data are available in the national communications (Albania, Andorra, Angola,  Antigua and Barbuda, Armenia, Azerbaijan, Bahrain, Bangladesh, Belize, Bhutan, Brazil, Brunei Darussalam, Burkina Faso, Cabo Verde, Cambodia, Cook Islands, Costa Rica,  Côte d'Ivoire, Colombia, Cuba, Equatorial Guinea, Eswatini, Ethiopia, Fiji, Gabon, Gambia, Georgia, Ghana, Grenada, Guatemala, Honduras, Indonesia, Iran, Jamaica, Kuwait, Lebanon, Lesotho,  Malaysia, Mauritania, Mauritius, Mexico, Mongolia, Montenegro, Morocco, Namibia, Nepal, Nicaragua, Nigeria, Panama, Oman,  Republic of Moldova, Rwanda, Samoa, Saudi Arabia, Serbia, Sierra Leone, Singapore, Somalia,  South Africa, Sri Lanka, Suriname, Tajikistan, Timor-Leste, Trinidad and Tobago, Uganda, United Arab Emirates, Vanuatu, Venezuela, Viet Nam, Zambia and Zimbabwe)  and biennial update reports (Afghanistan, Albania, Andorra, Antigua and Barbuda, Argentina, Armenia, Azerbaijan, Bahamas, Belize, Benin, Bhutan, Burundi, Cambodia, Chile,  Colombia, Costa Rica, Côte d'Ivoire, Democratic Republic of the Congo, Dominican Republic, Egypt, El Salvador, Gabon, Georgia, Ghana, Guinea-Bissau, Honduras, India, Indonesia, Jordan, Kyrgyzstan,  Laos Peoples Republic, Lesotho, Liberia, Malawi, Malaysia, Mauritania, Mauritius, Mexico,  Mongolia, Montenegro, Morocco, Namibia, Niger, Nigeria, North Macedonia, Oman, Pakistan, Panama, Paraguay, Papua New Guinea, Peru, Republic of Moldova, Rwanda, Saint Lucia,  Sao Tome and Principe, Serbia, Singapore, South Africa, Suriname, Tajikistan, Thailand, Togo, Trinidad and Tobago, Tunisia, Uruguay, Uganda, Uzbekistan, Viet Nam, and Zambia).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
